"","X","Name","High.Degree","Longitude","Latitude","Applicants","Admissions","Enrolled","SAT.Reading.25","SAT.Reading.75","SAT.Math.25","SAT.Math.75","ACT.25","ACT.75","Percent.Admitted","Tuition","Tuition.Instate","Tuition.Outstate","State","Region","Control","TEnrollment","Percent.Women","Pecent.Instate","Percent.Outstate","Percent.Foreign","GradRate.4yr","Percent.Finan.Aid"
"825",825,"Keuka College","Master's degree",-77.090518,42.61541,1375,1207,228,NA,NA,NA,NA,NA,NA,88,27465,43005,43005,"New York","Mid East","Private not-for-profit",1830,77,NA,NA,NA,36,100
"826",826,"Le Moyne College","Master's degree",-76.088449,43.047316,5924,3667,622,480,570,500,600,21,26,62,30460,44900,44900,"New York","Mid East","Private not-for-profit",2785,59,NA,NA,NA,63,100
"827",827,"LIU Brooklyn","Doctor's degree",-73.980872,40.690134,5695,4949,879,400,500,400,540,17,22,87,34120,50514,50514,"New York","Mid East","Private not-for-profit",5006,70,82,16,3,8,97
"828",828,"LIU Post","Doctor's degree",-73.593279,40.820043,6001,4841,659,440,520,440,540,19,23,81,34070,50934,50934,"New York","Mid East","Private not-for-profit",7983,58,76,9,14,22,96
"829",829,"LIU Brentwood","Master's degree",-73.287113,40.803845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York","Mid East","Private not-for-profit",23,61,NA,NA,NA,NA,NA
"830",830,"Manhattan College","Master's degree",-73.901893,40.889756,7268,4809,757,480,580,490,610,23,27,66,35725,52005,52005,"New York","Mid East","Private not-for-profit",3403,44,NA,NA,NA,60,92
"831",831,"Manhattanville College","Doctor's degree",-73.718316,41.031054,3930,3016,476,480,590,490,590,NA,NA,77,35370,52240,52240,"New York","Mid East","Private not-for-profit",1719,64,NA,NA,NA,54,99
"832",832,"Marist College","Master's degree",-73.934342,41.721955,10351,3876,1149,NA,NA,NA,NA,NA,NA,37,31290,48390,48390,"New York","Mid East","Private not-for-profit",5566,59,45,53,2,70,88
"833",833,"Marymount Manhattan College","Bachelor's degree",-73.959676,40.769108,4147,3095,399,480,590,450,560,21,26,75,26640,48740,48740,"New York","Mid East","Private not-for-profit",1833,77,NA,NA,NA,37,92
"834",834,"Medaille College","Doctor's degree",-78.856569,42.92895,1505,817,443,390,480,370,490,NA,NA,54,23812,37312,37312,"New York","Mid East","Private not-for-profit",1727,67,NA,NA,NA,38,92
"835",835,"Mercy College","Doctor's degree",-73.874571,41.021436,6546,3747,833,NA,NA,NA,NA,NA,NA,57,17576,34278,34278,"New York","Mid East","Private not-for-profit",8154,69,89,11,0,23,95
"836",836,"Molloy College","Doctor's degree",-73.626278,40.68597,3242,2356,501,480,560,490,580,20,25,73,25710,43718,43718,"New York","Mid East","Private not-for-profit",3375,74,98,2,0,39,97
"837",837,"Mount Saint Mary College","Master's degree",-74.012906,41.511212,3551,3054,449,450,540,460,550,20,24,86,26250,42290,42290,"New York","Mid East","Private not-for-profit",2203,70,NA,NA,NA,41,99
"838",838,"College of Mount Saint Vincent","Master's degree",-73.907019,40.912814,2416,1766,386,420,500,410,500,17,23,73,30290,44835,44835,"New York","Mid East","Private not-for-profit",1669,72,NA,NA,NA,37,100
"839",839,"Nazareth College","Doctor's degree",-77.514417,43.102406,3838,2625,423,NA,NA,NA,NA,NA,NA,68,29624,44290,44290,"New York","Mid East","Private not-for-profit",2034,73,91,7,1,59,100
"840",840,"The College of New Rochelle","Master's degree",-73.781104,40.899427,1554,885,532,450,520,450,535,22,25,57,31260,47550,47550,"New York","Mid East","Private not-for-profit",3225,90,96,3,0,16,100
"841",841,"The New School","Doctor's degree",-73.994636,40.735275,4978,3315,1038,505,635,510,605,22,28,67,40426,59691,59691,"New York","Mid East","Private not-for-profit",6777,72,19,48,32,50,95
"842",842,"New York University","Doctor's degree",-73.997264,40.729452,57845,15066,5207,620,720,630,740,28,32,26,44848,63540,63540,"New York","Mid East","Private not-for-profit",22615,60,24,61,15,77,55
"843",843,"Niagara University","Doctor's degree",-79.046229,43.132713,3716,2465,700,460,550,470,570,21,25,66,28200,42350,42350,"New York","Mid East","Private not-for-profit",2896,58,NA,NA,NA,60,98
"844",844,"New York Institute of Technology","Doctor's degree",-73.608885,40.814402,5433,4024,841,440,550,490,600,20,24,74,30780,48552,48552,"New York","Mid East","Private not-for-profit",4456,37,NA,NA,NA,25,97
"845",845,"Nyack College","Doctor's degree",-73.931106,41.086425,700,677,264,400,535,370,520,17,22,97,23250,36532,36532,"New York","Mid East","Private not-for-profit",1831,61,NA,NA,NA,24,100
"846",846,"Pace University-New York","Doctor's degree",-74.004719,40.711014,12885,9900,1848,470,570,470,570,21,25,77,38069,56999,56999,"New York","Mid East","Private not-for-profit",8289,59,NA,NA,NA,34,99
"847",847,"Paul Smiths College of Arts and Science","Bachelor's degree",-74.253006,44.437366,970,725,240,450,530,430,530,20,25,75,25261,40021,40021,"New York","Mid East","Private not-for-profit",981,34,NA,NA,NA,26,99
"848",848,"Polytechnic Institute of New York University","Doctor's degree",-73.986774,40.694371,3444,2591,451,550,660,640,740,28,32,75,41328,59570,59570,"New York","Mid East","Private not-for-profit",2155,24,NA,NA,NA,33,94
"849",849,"Rensselaer Polytechnic Institute","Doctor's degree",-73.678768,42.728983,16150,6654,1411,620,720,670,768,27,31,41,46269,61820,61820,"New York","Mid East","Private not-for-profit",5452,30,30,61,9,65,95
"850",850,"Roberts Wesleyan College","Master's degree",-77.798964,43.126747,814,591,206,450,590,470,580,20,25,73,27364,40888,40888,"New York","Mid East","Private not-for-profit",1315,70,NA,NA,NA,53,100
"851",851,"Rochester Institute of Technology","Doctor's degree",-77.67521,43.090325,16354,9839,2784,540,640,570,680,25,31,60,34424,47627,47627,"New York","Mid East","Private not-for-profit",13880,32,47,46,5,28,95
"852",852,"University of Rochester","Doctor's degree",-77.631042,43.126437,17244,6153,1472,600,700,650,750,29,32,36,45372,61340,61340,"New York","Mid East","Private not-for-profit",6177,52,NA,NA,NA,77,89
"853",853,"The Sage Colleges","Doctor's degree",-73.693711,42.72821,2237,1267,297,NA,NA,NA,NA,NA,NA,57,28000,42470,42470,"New York","Mid East","Private not-for-profit",1699,79,87,11,0,52,98
"854",854,"St Bonaventure University","Master's degree",-78.47586,42.07863,2754,2203,438,460,580,470,600,21,27,80,29589,42359,42359,"New York","Mid East","Private not-for-profit",1826,51,NA,NA,NA,54,99
"855",855,"St Francis College","Master's degree",-73.991653,40.693076,2815,1811,568,430,510,420,520,NA,NA,64,20700,43200,43200,"New York","Mid East","Private not-for-profit",2764,56,NA,NA,NA,27,98
"856",856,"St Lawrence University","Master's degree",-75.161343,44.589879,4424,2054,631,NA,NA,NA,NA,NA,NA,46,46040,59550,59550,"New York","Mid East","Private not-for-profit",2414,55,NA,NA,NA,77,95
"857",857,"The College of Saint Rose","Master's degree",-73.78611,42.664664,4651,3605,621,NA,NA,NA,NA,NA,NA,78,27684,42234,42234,"New York","Mid East","Private not-for-profit",2891,66,83,16,1,53,99
"858",858,"St Thomas Aquinas College","Master's degree",-73.934182,41.041126,1841,1514,337,420,520,410,530,17,20,82,26340,41120,41120,"New York","Mid East","Private not-for-profit",1801,53,66,23,0,36,97
"859",859,"Sarah Lawrence College","Master's degree",-73.84381,40.934147,2165,1335,344,NA,NA,NA,NA,NA,NA,62,48696,64122,64122,"New York","Mid East","Private not-for-profit",1471,72,NA,NA,NA,62,78
"860",860,"Siena College","Master's degree",-73.75153,42.718586,8082,5500,734,500,600,520,620,22,27,68,31368,47265,47265,"New York","Mid East","Private not-for-profit",3151,53,78,21,1,74,98
"861",861,"Skidmore College","Master's degree",-73.785108,43.092696,8285,2904,660,560,680,570,670,26,30,35,45874,60900,60900,"New York","Mid East","Private not-for-profit",2684,61,28,62,10,83,57
"862",862,"Saint Joseph's College-New York","Master's degree",-73.968037,40.690485,3148,2373,547,470,570,480,580,21,25,75,21878,NA,NA,"New York","Mid East","Private not-for-profit",4529,69,NA,NA,NA,56,96
"863",863,"Saint John Fisher College","Doctor's degree",-77.516979,43.117064,4016,2521,521,480,570,510,600,22,27,63,28430,41370,41370,"New York","Mid East","Private not-for-profit",2959,60,95,5,0,65,100
"864",864,"St John's University-New York","Doctor's degree",-73.795301,40.721979,51634,27449,2792,480,590,490,620,21,27,53,37260,56971,56971,"New York","Mid East","Private not-for-profit",15773,55,NA,NA,NA,36,98
"865",865,"SUNY College of Technology at Alfred","Bachelor's degree",-77.791057,42.258745,5761,3165,1101,470,570,530,610,21,26,55,7294,23239,29899,"New York","Mid East","Public",3555,40,95,5,0,39,94
"866",866,"SUNY College of Technology at Canton","Bachelor's degree",-75.185005,44.607346,3391,2653,780,NA,NA,NA,NA,NA,NA,78,7181,21416,25586,"New York","Mid East","Public",3512,56,97,2,1,23,96
"867",867,"SUNY College of Technology at Delhi","Bachelor's degree",-74.924225,42.270129,4846,2843,935,NA,NA,NA,NA,NA,NA,59,7200,21090,25260,"New York","Mid East","Public",3308,53,97,2,1,28,91
"868",868,"SUNY College of Agriculture and Technology at Cobleskill","Bachelor's degree",-74.504897,42.661622,2765,2021,781,450,540,450,540,16,22,73,7149,22661,32111,"New York","Mid East","Public",2453,52,90,8,0,29,90
"869",869,"Farmingdale State College","Bachelor's degree",-73.426371,40.75408,5401,2843,1190,430,510,450,540,19,23,53,7125,22185,31635,"New York","Mid East","Public",8162,42,99,0,1,21,68
"870",870,"Morrisville State College","Bachelor's degree",-75.604369,42.891392,4049,2388,858,420,500,420,530,17,21,59,7412,23352,32802,"New York","Mid East","Public",3028,48,95,4,1,21,94
"871",871,"SUNY at Albany","Doctor's degree",-73.825014,42.686917,21178,11744,2568,490,580,520,610,22,26,55,8040,22419,32739,"New York","Mid East","Public",12822,48,87,8,5,56,79
"872",872,"SUNY at Binghamton","Doctor's degree",-75.971143,42.088049,28232,12104,2664,590,675,630,710,27,30,43,8144,22832,33152,"New York","Mid East","Public",12997,47,77,11,11,69,61
"873",873,"University at Buffalo","Doctor's degree",-78.790103,43.001433,23093,13053,3669,500,600,550,660,23,28,57,8211,23316,35256,"New York","Mid East","Public",19831,46,84,4,12,52,75
"874",874,"Stony Brook University","Doctor's degree",-73.123595,40.913138,30300,11963,2709,550,650,600,700,26,30,39,7995,22127,34067,"New York","Mid East","Public",15992,46,NA,NA,NA,45,80
"875",875,"SUNY College of Environmental Science and Forestry","Doctor's degree",-76.139236,43.034355,1538,777,288,520,620,540,640,23,27,51,7033,24093,33543,"New York","Mid East","Public",1702,43,78,19,3,51,90
"876",876,"SUNY Institute of Technology at Utica-Rome","Master's degree",-75.2292,43.13528,1954,929,274,450,550,500,580,22,26,48,7090,23065,32515,"New York","Mid East","Public",1804,41,97,1,3,32,92
"877",877,"SUNY College at Brockport","Master's degree",-77.949824,43.209862,8570,4091,1085,470,570,490,590,21,26,48,7222,20952,30402,"New York","Mid East","Public",7090,55,97,2,1,48,87
"878",878,"Buffalo State SUNY","Master's degree",-78.88067,42.934199,11256,5463,1324,440,520,450,540,NA,NA,49,7022,21493,30853,"New York","Mid East","Public",9355,57,97,1,2,25,87
"879",879,"SUNY College at Cortland","Master's degree",-76.197909,42.590158,11518,5394,1207,480,550,500,580,21,25,47,7327,22634,32084,"New York","Mid East","Public",6400,56,95,5,1,47,84
"880",880,"SUNY at Fredonia","Master's degree",-79.336109,42.450961,5883,3032,1007,470,570,470,580,21,26,52,7400,21638,31088,"New York","Mid East","Public",5092,55,96,3,1,45,87
"881",881,"SUNY College at Geneseo","Master's degree",-77.821999,42.796864,9164,4184,997,580,690,600,700,27,29,46,7430,21672,31122,"New York","Mid East","Public",5504,58,97,2,1,66,59
"882",882,"State University of New York at New Paltz","Master's degree",-74.088727,41.737205,12892,5620,1119,510,610,520,610,23,27,44,7083,21403,30853,"New York","Mid East","Public",6570,63,94,5,1,51,73
"883",883,"SUNY Oneonta","Master's degree",-75.064186,42.466555,10261,5205,1119,500,580,520,600,22,25,51,7230,21680,31130,"New York","Mid East","Public",5800,60,97,2,1,54,79
"884",884,"SUNY College at Oswego","Master's degree",-76.543885,43.453047,10351,5034,1508,520,590,520,590,22,26,49,7181,21991,31441,"New York","Mid East","Public",7328,52,96,4,1,40,91
"885",885,"SUNY College at Potsdam","Master's degree",-74.976889,44.662862,4764,3257,821,NA,NA,NA,NA,NA,NA,68,7174,21109,30559,"New York","Mid East","Public",3707,57,97,3,1,30,91
"886",886,"SUNY at Purchase College","Master's degree",-73.700127,41.047092,8405,2790,775,500,600,480,580,21,26,33,7573,24672,34122,"New York","Mid East","Public",4239,56,79,19,2,50,82
"887",887,"SUNY College at Old Westbury","Master's degree",-73.570966,40.789842,3341,1939,410,450,530,470,550,19,22,58,6624,19284,28534,"New York","Mid East","Public",4161,58,97,0,3,20,77
"888",888,"SUNY College at Plattsburgh","Master's degree",-73.467342,44.691103,8193,3739,954,460,550,470,570,20,24,46,7179,21309,30759,"New York","Mid East","Public",5639,56,90,4,6,41,91
"889",889,"SUNY Empire State College","Master's degree",-73.779915,43.078304,1484,1195,433,NA,NA,NA,NA,NA,NA,81,6265,NA,NA,"New York","Mid East","Public",10827,62,94,3,3,8,94
"890",890,"SUNY Maritime College","Master's degree",-73.800336,40.809048,1279,818,331,450,570,480,600,20,26,64,7109,22614,32064,"New York","Mid East","Public",1601,11,76,22,2,25,76
"891",891,"Syracuse University","Doctor's degree",-76.136738,43.040525,28269,13990,3487,500,620,540,650,23,28,49,40458,57450,57450,"New York","Mid East","Private not-for-profit",15097,55,35,54,11,69,74
"892",892,"Teachers College at Columbia University","Doctor's degree",-73.960399,40.810311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York","Mid East","Private not-for-profit",0,NA,NA,NA,NA,NA,NA
"893",893,"Touro College","Doctor's degree",-73.989932,40.742172,1732,1016,859,NA,NA,NA,NA,NA,NA,59,15250,28472,28472,"New York","Mid East","Private not-for-profit",6827,69,73,26,0,31,84
"894",894,"Excelsior College","Master's degree",-73.862204,42.704887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York","Mid East","Private not-for-profit",37440,57,NA,NA,NA,NA,NA
"895",895,"Union College","Bachelor's degree",-73.928498,42.817578,5725,2134,559,590,680,630,720,28,31,37,46785,60150,60150,"New York","Mid East","Private not-for-profit",2246,46,30,62,8,82,81
"896",896,"United States Merchant Marine Academy","Master's degree",-73.762534,40.812154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032,9768,9768,"New York","US Service schools","Public",958,15,NA,NA,NA,62,18
"897",897,"Utica College","Doctor's degree",-75.272407,43.095183,3689,3151,489,410,520,420,530,18,23,85,33320,48650,48650,"New York","Mid East","Private not-for-profit",2881,61,85,13,2,30,99
"898",898,"Vassar College","Master's degree",-73.894345,41.685105,7597,1832,666,660,740,650,730,30,33,24,47890,61320,61320,"New York","Mid East","Private not-for-profit",2477,56,NA,NA,NA,90,71
"899",899,"Wagner College","Master's degree",-74.09573,40.615003,2942,2056,430,530,630,520,640,22,27,70,39220,53924,53924,"New York","Mid East","Private not-for-profit",1842,65,40,56,4,53,99
"900",900,"Wells College","Bachelor's degree",-76.696512,42.744314,2214,1321,161,480,600,470,590,21,26,60,35900,49800,49800,"New York","Mid East","Private not-for-profit",534,66,NA,NA,NA,56,100
"901",901,"Yeshiva University","Doctor's degree",-73.928541,40.8508,1575,1294,857,550,680,550,690,23,29,82,37600,55075,55075,"New York","Mid East","Private not-for-profit",2887,47,NA,NA,NA,60,84
"902",902,"Appalachian State University","Doctor's degree",-81.680234,36.214844,12248,7744,3028,520,620,540,620,24,28,63,6462,19058,31266,"North Carolina","Southeast","Public",16025,53,90,9,1,42,67
"903",903,"Barton College","Master's degree",-77.913805,35.735463,2933,1225,217,410,500,430,520,18,22,42,25396,39254,39254,"North Carolina","Southeast","Private not-for-profit",1057,69,82,17,1,41,100
"904",904,"Belmont Abbey College","Bachelor's degree",-81.041847,35.261276,2197,1485,283,428,540,440,530,18,24,68,18500,32564,32564,"North Carolina","Southeast","Private not-for-profit",1647,58,57,42,1,33,100
"905",905,"Bennett College","Bachelor's degree",-79.77998,36.067531,1639,1354,194,NA,NA,NA,NA,NA,NA,83,17355,31035,31035,"North Carolina","Southeast","Private not-for-profit",680,100,NA,NA,NA,25,100
"906",906,"Brevard College","Bachelor's degree",-82.729763,35.237657,2299,1032,245,420,520,430,530,18,22,45,25200,37000,37000,"North Carolina","Southeast","Private not-for-profit",701,38,NA,NA,NA,31,99
"907",907,"Campbell University","Doctor's degree",-78.739508,35.409333,11714,8180,788,380,655,385,645,17,27,70,26240,42580,42580,"North Carolina","Southeast","Private not-for-profit",4465,50,NA,NA,NA,39,100
"908",908,"Catawba College","Master's degree",-80.486575,35.692445,3226,1309,342,430,540,440,560,NA,NA,41,26820,40743,40743,"North Carolina","Southeast","Private not-for-profit",1298,52,NA,NA,NA,41,99
"909",909,"Chowan University","Master's degree",-77.099141,36.436258,3708,2282,474,360,430,340,440,14,17,62,22510,31780,31780,"North Carolina","Southeast","Private not-for-profit",1361,53,NA,NA,NA,15,100
"910",910,"Davidson College","Bachelor's degree",-80.845236,35.500006,4745,1215,483,630,730,600,710,29,33,26,42849,57458,57458,"North Carolina","Southeast","Private not-for-profit",1788,50,NA,NA,NA,90,62
"911",911,"Duke University","Doctor's degree",-78.94226,36.00159,30374,4077,1714,670,760,690,790,30,34,13,45376,61748,61748,"North Carolina","Southeast","Private not-for-profit",6646,50,NA,NA,NA,87,64
"912",912,"East Carolina University","Doctor's degree",-77.366199,35.606347,15535,9658,4015,480,550,500,570,21,24,62,6143,20831,34944,"North Carolina","Southeast","Public",21508,59,85,15,0,31,73
"913",913,"Elizabeth City State University","Master's degree",-76.210063,36.273539,3925,2243,527,380,450,400,470,16,18,57,4429,13161,24018,"North Carolina","Southeast","Public",2336,59,93,7,0,21,97
"914",914,"Elon University","Doctor's degree",-79.505632,36.104149,9949,5370,1474,560,660,560,660,23,26,54,30149,43546,43546,"North Carolina","Southeast","Private not-for-profit",5599,59,18,80,1,77,68
"915",915,"Fayetteville State University","Doctor's degree",-78.894709,35.072485,4010,2204,612,380,450,400,470,17,19,55,4605,14854,25650,"North Carolina","Southeast","Public",5410,69,92,6,1,12,96
"916",916,"Gardner-Webb University","Doctor's degree",-81.668141,35.24732,5481,2640,435,440,550,460,570,19,25,48,25830,37620,37620,"North Carolina","Southeast","Private not-for-profit",2587,65,69,29,3,43,100
"917",917,"Greensboro College","Master's degree",-79.800232,36.071082,1314,1029,200,390,500,400,520,15,21,78,26306,39376,39376,"North Carolina","Southeast","Private not-for-profit",974,51,NA,NA,NA,15,100
"918",918,"Guilford College","Bachelor's degree",-79.888848,36.092563,3030,2066,407,460,610,480,580,20,26,68,32470,45395,45395,"North Carolina","Southeast","Private not-for-profit",2302,56,NA,NA,NA,49,99
"919",919,"High Point University","Doctor's degree",-79.994545,35.972674,7663,4918,1257,490,580,500,600,21,26,64,30715,43900,43900,"North Carolina","Southeast","Private not-for-profit",3999,59,NA,NA,NA,58,73
"920",920,"Johnson C Smith University","Bachelor's degree",-80.854842,35.243384,4777,1752,232,363,470,370,450,15,19,37,18236,32136,32136,"North Carolina","Southeast","Private not-for-profit",1387,59,48,49,3,32,89
"921",921,"Lees-McRae College","Bachelor's degree",-81.870998,36.16362,1751,1164,226,NA,NA,NA,NA,NA,NA,66,24150,39250,39250,"North Carolina","Southeast","Private not-for-profit",890,60,68,30,2,30,100
"922",922,"Lenoir-Rhyne University","Master's degree",-81.326161,35.73904,4762,3241,310,430,530,450,550,18,23,68,29310,43360,43360,"North Carolina","Southeast","Private not-for-profit",1491,58,NA,NA,NA,40,99
"923",923,"Livingstone College","Bachelor's degree",-80.484459,35.670743,3270,2329,395,320,410,320,410,13,16,71,16024,25920,25920,"North Carolina","Southeast","Private not-for-profit",1175,44,70,30,0,11,98
"924",924,"Mars Hill University","Master's degree",-82.550859,35.825858,2899,1869,419,410,510,420,530,17,23,64,25636,38224,38224,"North Carolina","Southeast","Private not-for-profit",1426,50,63,33,4,26,99
"925",925,"Meredith College","Master's degree",-78.689175,35.797197,1762,1098,415,460,570,470,570,20,25,62,30562,41878,41878,"North Carolina","Southeast","Private not-for-profit",1571,100,NA,NA,NA,50,100
"926",926,"Methodist University","Master's degree",-78.875024,35.137854,4079,2497,452,420,520,440,540,18,23,61,27830,47311,47311,"North Carolina","Southeast","Private not-for-profit",2243,46,57,35,8,18,99
"927",927,"Montreat College","Master's degree",-82.297522,35.645844,700,380,109,400,550,420,530,17,23,54,23520,35690,35690,"North Carolina","Southeast","Private not-for-profit",743,57,NA,NA,NA,26,100
"928",928,"Mount Olive College","Bachelor's degree",-78.071265,35.206314,2117,1054,333,400,490,420,530,17,20,50,17300,27850,27850,"North Carolina","Southeast","Private not-for-profit",3414,67,74,17,0,26,100
"929",929,"North Carolina A & T State University","Doctor's degree",-79.770152,36.076737,4480,3120,1849,400,480,420,500,17,21,70,5422,15929,27010,"North Carolina","Southeast","Public",8872,54,80,19,1,16,95
"930",930,"University of North Carolina at Asheville","Master's degree",-82.565259,35.616618,3036,1944,553,550,650,550,640,24,27,64,6241,18765,32587,"North Carolina","Southeast","Public",3736,57,84,15,0,37,77
"931",931,"University of North Carolina at Chapel Hill","Doctor's degree",-79.050969,35.912165,28437,7847,3915,590,700,610,710,28,32,28,8340,24024,45806,"North Carolina","Southeast","Public",18370,58,83,16,1,81,68
"932",932,"University of North Carolina at Charlotte","Doctor's degree",-80.73579,35.306834,13742,9416,3541,480,560,500,600,20,25,69,6107,19080,31609,"North Carolina","Southeast","Public",21503,48,90,7,2,26,75
"933",933,"University of North Carolina at Greensboro","Doctor's degree",-79.809844,36.067503,10112,6069,2516,460,560,470,560,21,25,60,6382,19172,32970,"North Carolina","Southeast","Public",14753,65,91,6,2,30,80
"934",934,"North Carolina Central University","Doctor's degree",-78.898602,35.974237,8886,4472,1407,390,460,400,470,16,19,50,5526,18547,29120,"North Carolina","Southeast","Public",6220,67,89,11,0,15,97
"935",935,"North Carolina State University at Raleigh","Doctor's degree",-78.674517,35.785111,20700,10353,4398,550,640,590,670,25,30,50,8206,22184,35639,"North Carolina","Southeast","Public",24536,44,84,13,3,41,71
"936",936,"North Carolina Wesleyan College","Bachelor's degree",-77.774231,36.017443,1634,764,222,370,470,400,500,15,20,47,26632,37812,37812,"North Carolina","Southeast","Private not-for-profit",1602,59,NA,NA,NA,23,84
"937",937,"University of North Carolina Wilmington","Doctor's degree",-77.875527,34.225223,11184,6061,2053,540,620,560,630,22,26,54,6343,20601,32738,"North Carolina","Southeast","Public",12447,60,83,16,1,52,69
"938",938,"William Peace University","Bachelor's degree",-78.636793,35.789105,1083,984,328,410,520,400,510,16,21,91,23900,38900,38900,"North Carolina","Southeast","Private not-for-profit",1007,71,NA,NA,NA,38,100
"939",939,"University of North Carolina at Pembroke","Master's degree",-79.201895,34.687231,3087,2224,1020,410,500,430,510,18,21,72,5144,17622,26829,"North Carolina","Southeast","Public",5429,62,95,4,0,15,92
"940",940,"Pfeiffer University","Master's degree",-80.283168,35.484696,1662,1597,218,410,520,440,540,18,22,96,24150,37140,37140,"North Carolina","Southeast","Private not-for-profit",951,60,NA,NA,NA,33,100
"941",941,"Queens University of Charlotte","Master's degree",-80.832227,35.188929,1949,1498,316,470,560,470,580,21,26,77,29800,44124,44124,"North Carolina","Southeast","Private not-for-profit",1734,72,NA,NA,NA,44,97
"942",942,"Mid-Atlantic Christian University","Bachelor's degree",-76.217496,36.303765,168,69,37,340,530,360,500,14,20,41,12160,25090,25090,"North Carolina","Southeast","Private not-for-profit",162,52,NA,NA,NA,30,100
"943",943,"Saint Augustine's University","Bachelor's degree",-78.621806,35.785032,2560,1725,327,330,423,335,435,13,17,67,17890,31642,31642,"North Carolina","Southeast","Private not-for-profit",1299,50,NA,NA,NA,22,85
"944",944,"Salem College","Master's degree",-80.241357,36.087531,854,497,174,510,620,490,580,22,27,58,24566,41600,41600,"North Carolina","Southeast","Private not-for-profit",979,95,NA,NA,NA,61,99
"945",945,"Shaw University","Master's degree",-78.637693,35.771181,6207,3382,507,NA,NA,NA,NA,NA,NA,54,16480,29378,29378,"North Carolina","Southeast","Private not-for-profit",1923,56,NA,NA,NA,16,98
"946",946,"St Andrews University","Master's degree",-79.478385,34.746283,898,579,178,430,510,450,530,18,23,64,23332,40000,40000,"North Carolina","Southeast","Private not-for-profit",595,53,NA,NA,NA,4,100
"947",947,"Wake Forest University","Doctor's degree",-80.279004,36.135301,11121,3915,1232,NA,NA,NA,NA,NA,NA,35,44742,60242,60242,"North Carolina","Southeast","Private not-for-profit",4823,52,NA,NA,NA,82,81
"948",948,"Warren Wilson College","Master's degree",-82.441097,35.611762,1214,845,220,530,660,480,590,23,27,70,29540,43000,43000,"North Carolina","Southeast","Private not-for-profit",830,61,NA,NA,NA,40,90
"949",949,"Wingate University","Doctor's degree",-80.444465,34.979384,5323,4221,642,440,550,470,570,19,24,79,25040,37740,37740,"North Carolina","Southeast","Private not-for-profit",2009,59,NA,NA,NA,47,99
"950",950,"Winston-Salem State University","Doctor's degree",-80.224905,36.089197,5164,2874,685,410,470,430,490,16,19,56,5468,16708,25521,"North Carolina","Southeast","Public",4938,71,90,9,1,18,96
"951",951,"Western Carolina University","Doctor's degree",-83.125447,35.28149,15231,5736,1558,460,560,480,570,20,24,38,6265,18599,28196,"North Carolina","Southeast","Public",8448,55,92,7,0,32,83
"952",952,"Dickinson State University","Bachelor's degree",-102.800511,46.882677,417,203,165,425,533,405,505,18,23,49,5846,16044,18396,"North Dakota","Plains","Public",1449,61,NA,NA,NA,15,82
"953",953,"University of Jamestown","Doctor's degree",-98.697209,46.915402,1088,619,261,430,570,430,530,21,24,57,18494,28738,28738,"North Dakota","Plains","Private not-for-profit",955,53,NA,NA,NA,33,100
"954",954,"University of Mary","Doctor's degree",-100.752386,46.724893,945,785,440,450,570,450,560,20,25,83,14730,24121,24121,"North Dakota","Plains","Private not-for-profit",2044,64,51,47,0,28,100
"955",955,"Mayville State University","Bachelor's degree",-97.322545,47.504671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6353,16445,18767,"North Dakota","Plains","Public",1036,56,NA,NA,NA,21,95
"956",956,"Minot State University","Master's degree",-101.300624,48.246877,959,543,397,428,500,438,543,19,24,57,6086,16196,16196,"North Dakota","Plains","Public",3254,61,72,19,9,14,91
"957",957,"University of North Dakota","Doctor's degree",-97.070823,47.921881,5404,3983,2360,470,590,500,610,21,26,74,7508,21162,31448,"North Dakota","Plains","Public",11724,43,36,63,1,24,88
"958",958,"North Dakota State University-Main Campus","Doctor's degree",-96.805689,46.894523,5812,4888,2553,490,625,490,650,21,26,84,7660,19460,30042,"North Dakota","Plains","Public",11948,44,36,63,1,26,88
"959",959,"Valley City State University","Master's degree",-98.001762,46.919144,345,286,186,420,460,440,510,18,23,83,6516,16986,25066,"North Dakota","Plains","Public",1211,56,67,29,4,23,99
"960",960,"University of Akron Main Campus","Doctor's degree",-81.510328,41.077768,10575,10204,3812,450,590,470,610,18,25,96,10054,23956,32320,"Ohio","Great Lakes","Public",20477,48,94,5,1,16,90
"961",961,"Ashland University","Doctor's degree",-82.320621,40.860987,2931,2180,623,430,550,440,550,20,25,74,29836,42833,42833,"Ohio","Great Lakes","Private not-for-profit",3198,51,91,8,2,42,97
"962",962,"Baldwin Wallace University","Master's degree",-81.849112,41.373938,4220,2699,762,470,610,480,590,21,27,64,27840,39230,39230,"Ohio","Great Lakes","Private not-for-profit",3425,55,76,23,1,55,100
"963",963,"Bluffton University","Master's degree",-83.897678,40.896998,1784,947,250,430,560,440,580,19,25,53,28504,41864,41864,"Ohio","Great Lakes","Private not-for-profit",1053,50,NA,NA,NA,52,100
